checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-07 21:10,LED,VCE,Через Турцию,IST,13873,160,86.8976,2026-09,Стамбул IST: 7 748 ₽ + 6 125 ₽,,
2026-07-07 21:10,LED,VCE,Через Белград,BEG,18108,208,86.8976,2026-09,Белград: 12 419 ₽ + 5 689 ₽,,
2026-07-07 21:10,LED,TSF,Любой маршрут (мин.),,23418,269,86.8976,2026-09,вылет 2026-09-09 · 2 перес. · 42 ч 25 мин · a/к PC,,
2026-07-07 21:10,LED,TSF,Через Ереван,EVN,18274,210,86.8976,2026-09,Ереван: 11 804 ₽ + 6 470 ₽,,
2026-07-07 21:10,LED,TSF,Через Турцию,IST,14331,165,86.8976,2026-09,Стамбул IST: 7 748 ₽ + 6 583 ₽,,
2026-07-07 21:10,LED,TSF,Через Белград,BEG,18108,208,86.8976,2026-09,Белград: 12 419 ₽ + 5 689 ₽,,
2026-07-08 09:16,MOW,VCE,Любой маршрут (мин.),,17230,198,86.8976,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-08 09:16,MOW,VCE,Через Ереван,EVN,15591,179,86.8976,2026-09,Ереван: 9 174 ₽ + 6 417 ₽,,
2026-07-08 09:16,MOW,VCE,Через Турцию,IST,15412,177,86.8976,2026-09,Стамбул IST: 9 287 ₽ + 6 125 ₽,,
2026-07-08 09:16,MOW,VCE,Через Белград,BEG,26099,300,86.8976,2026-09,Белград: 20 410 ₽ + 5 689 ₽,,
2026-07-08 09:16,MOW,TSF,Любой маршрут (мин.),,17230,198,86.8976,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-08 09:16,MOW,TSF,Через Ереван,EVN,15591,179,86.8976,2026-09,Ереван: 9 174 ₽ + 6 417 ₽,,
2026-07-08 09:16,MOW,TSF,Через Турцию,IST,15875,183,86.8976,2026-09,Стамбул IST: 9 287 ₽ + 6 588 ₽,,
2026-07-08 09:16,MOW,TSF,Через Белград,BEG,26099,300,86.8976,2026-09,Белград: 20 410 ₽ + 5 689 ₽,,
